content,sender,words
2020年3月30号 1.美国 1.1.”美国钟南山“ 福奇医生（Anthony S. Fauci安东尼·福奇，就是那个个子不高，戴眼镜，几次站在特朗普后面的哑嗓子的80岁老医生），说美国将会有几百万人感染，10-20万人死亡。 1.2.特朗普同学说如果控制不好，有可能要死220万人，所以如果美国政府能把死人数量控制在10万以内，那就是一个大胜利。特朗普是纽约人，他说电视上看到一排排装尸体的冷冻卡车。 1.3.特朗普说话不靠谱，但是福奇医生非常靠谱。所以美国死10万人是大概率事件了。这是一个非常沉重的消息。 1.4.美国人民真是神经大条。特朗普现在的支持率还很高。  2.我觉得印度和巴西会非常恐怖，莫迪宣布封国21天，很多人走路几百公里到乡下去大概可以把病毒传的更远。巴西总统不相信这个病有什么大问题，还有召开大集会。这两个国家说不定会死几十万甚至几百万人，但愿我是错的。 3.看到新闻加沙地带也有新冠肺炎的病人了，夹在以色列和埃及之间。这些难民没有国家，不知道要死多少。  现在开始，接下来的半年，我们是全世界最安全的地方。大家都珍惜现在的生活吧。咱们不一定每个人都富足，但是我们大家安全无虞，2020真是太魔幻了。,认证个人,钟南山 福奇 医生 安东尼 福奇 个子 戴眼镜 特朗普 嗓子 医生 死亡 特朗普 同学 控制 要死 美国政府 死人 数量 控制 胜利 特朗普 纽约 电视 尸体 冷冻 卡车 特朗普 说话 不靠 福奇 医生 概率 事件 沉重 消息 人民 神经 特朗普 支持率 印度 巴西 恐怖 莫迪 封国 走路 病毒 巴西 总统 集会 国家 新闻 加沙 地带 病人 以色列 埃及 难民 国家 要死 全世界 地方 珍惜 生活 富足 无虞 真是太 魔幻
#女子在美核酸检测被拒后抵京确诊#3月13日，北京市报告1例从美国输入的确诊病例黎某。今天下午，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾控中心通报了患者黎某的相关情况：黎某，女，国内户籍地为重庆市，长期定居在美国马萨诸塞州。她自述2月26日至27日在美国参加公司会议，其中的一名同事后来被诊断为新冠肺炎确诊病例。 3月1日晚，黎某出现寒战，未就诊。之后又陆续出现其他症状：发热最高达到39℃，同时伴有咳嗽、流涕等呼吸道症状，还有恶心、腹泻、肌肉酸痛、全身乏力等症状。 3月3日黎某首诊于当地医院。当地医院给以奥司他韦治疗。 3月5日、3月10日就诊于同一医院，胸片显示均无异常。 3月11日再次就诊同一医院，胸片显示肺炎影像，当地医院评估其症状后未收治入院，在美国3次申请核酸检测均被拒绝。 为进一步诊治，黎某及其丈夫、儿子一家三口于美国当地时间3月12日01:00从洛杉矶机场乘国航CA988次航班，于北京时间3月13日05:00到达北京首都机场。 入境填写的健康申明卡显示：黎某有发热、乏力、干咳等症状，黎某丈夫有乏力症状，儿子无症状。 经向此次航班上的乘务员孙某核实，得知黎某在飞机上落座1小时后自述低血糖，乘务员将其安排在最后一排隔离区，与前方乘客有帘子阻隔，之后黎某未返回原座位。 抵京时，海关对3人排查后，由120急救车转运至定点医院。3月13日，黎某诊断为确诊病例，黎某丈夫及儿子诊断为疑似病例。 目前病例在定点医院隔离治疗，病情稳定。该确诊病例共确定了59名密切接触者，其中14人在京，均已采取相应措施，其他人员信息已转相关省份。 疾控部门提醒我国境外居民，如果出现发热等症状，请及时在当地就诊或采取居家观察，避免出行。更不能采用国际长途旅行方式，于己于人极为不利，造成疾病扩散的风险极大。（总台央视记者王丰）http://t.cn/A6zi3APO,认证个人,女子 核酸检测 抵京 北京市 报告 例从 输入 黎某 今天下午 北京市 新型 疫情防控 工作 新闻 发布会 北京市 疾控中心 通报 黎某 相关 情况 黎某 户籍地 重庆市 定居 马萨诸塞州 自述 参加 公司 会议 同事 诊断 黎某 寒战 就诊 症状 发热 伴有 咳嗽 流涕 症状 恶心 腹泻 肌肉 酸痛 全身 乏力 症状 日黎 诊于 医院 医院 奥司 治疗 就诊 医院 胸片 就诊 医院 胸片 影像 医院 评估 症状 收治 入院 申请 核酸检测 拒绝 诊治 黎某 丈夫 儿子 时间 洛杉矶 机场 航班 北京 时间 到达 北京首都机场 入境 填写 健康 申明 黎某 发热 乏力 干咳 症状 黎某 丈夫 乏力 症状 儿子 无症状 经向 航班 乘务员 孙某 核实 得知 黎某 飞机 落座 小时 自述 低血糖 乘务员 安排 隔离区 乘客 帘子 阻隔 黎某 返回 座位 抵京 海关 排查 急救车 转运 定点医院 黎某 诊断 黎某 丈夫 儿子 诊断 疑似病例 定点医院 隔离治疗 病情 稳定 密切接触者 采取相应 措施 人员 信息 相关 省份 部门 提醒 境外 居民 发热 症状 就诊 居家 观察 出行 采用 国际 长途旅行 方式 不利 疾病 扩散 风险 总台 记者 王丰
【#黄冈#黄州西湖中学：校园防疫演练迎接复学】按照湖北省新冠肺炎疫情防控指挥部要求，黄冈高三年级将在5月6日统一复课。 为提高疫情防控应急能力，全面筑牢校园战“疫”防线，4月26号，黄州西湖中学组织教职工开展高三年级返校复学防疫演练。  #黄冈[地点]# 黄冈政府门户网的微博视频,认证个人,黄冈 黄州 西湖 中学 校园 防疫 演练 迎接 复学 湖北省 肺炎疫情防控指挥部 黄冈 高三 统一 复课 提高 疫情防控 应急 能力 校园 防线 黄州 西湖 中学 组织 教职工 高三 返校 复学 防疫 演练 黄冈 地点 黄冈 政府 门户网
#浙江新增123例新型肺炎#浙江人力物流都捐给外省，自己联求助都要小心翼翼的问：我们能说吗？真的看到好心塞[悲伤][悲伤]只想说会哭孩子有糖吃[二哈][二哈]咋们能不能不要那么懂事[可怜][可怜]大家看看我们浙江吧[泪][泪]太卑微了,认证个人,浙江 新增 浙江 人力 物流 捐给 外省 求助 好心 悲伤 悲伤 孩子 二哈 二哈 懂事 可怜 可怜 浙江 卑微
#全国已确诊新型肺炎病例319例#  实时链接 码一下 还刷着319的热搜呢就从319涨到了321…… 吃野味的真尼玛牛批，以现在交通的发达程度来看要是不及时控制住，那恭喜你们这些管不住嘴的要成为全球罪人了，为你们鼓掌👏 就问一句不吃能死?非典教训记不住?你们造孽让这么多无辜的人买单开心吗?其他身处疫情中心的武汉人民欠你们的吗?一线冒危险的医护人员又该你们的吗? 已经发热了的也ball ball你们别乱跑了，别这么自私了吧 [摊手][摊手][摊手]『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vdSMyV,认证个人,全国 链接 涨到 野味 尼玛 交通 发达 程度 控制 恭喜 管不住 全球 罪人 鼓掌 不吃 教训 记不住 造孽 无辜 买单 开心 中心 武汉 人民 危险 医护人员 发热 乱跑 自私 摊手 摊手 摊手 全国 动态 丁香 丁香 医生
当影视成为现实… 《The Walking Dead》海报VS疫情后的同一地点。此处位于亚特兰大，在新冠疫情的影响下，已成为一座死城…By oxywave #电影#,认证个人,影视 现实 海报 地点 位于 亚特兰大 影响 死城 电影
#哀悼抗击新冠疫情牺牲烈士和逝世同胞##清明追思家国永念#  愿花飨逝者、春暖斯人。 大连 显示地图,认证个人,哀悼 抗击 牺牲 烈士 逝世 同胞 清明 追思 家国 永念 逝者 斯人
『实时更新|武汉新型肺炎全国疫情地图-新浪报道』实时更新|新冠肺炎疫情地图,认证个人,武汉 全国 新浪 报道
#意大利新型肺炎确诊患者增至230例#？？？？前两天看在意大利的朋友还说的80+例？？？？？？？？？？？,认证个人,意大利 增至 意大利 朋友
#新疆确诊2例新型肺炎#还好前天，死缠着我爸去买了些口罩，今天还成功让他戴着口罩和我去超市，回来就看到消息，虽说口罩数量也不特别多，但近些天也会趁着过年的假期少出门,认证个人,新疆 还好 死缠 口罩 成功 口罩 超市 回来 消息 口罩 数量 出门
青春有你2 来自台湾的选手#王心茗# 在给爸爸写的信中称 新冠病毒 为 武汉病毒……[吃瓜],认证个人,青春 台湾 选手 王心茗 爸爸 武汉 病毒
新冠疫情在韩国爆发，人都来青岛了！,认证个人,韩国 爆发 青岛
记录欢喜坨20号打完13价肺炎的最后一针疫苗，下午开始发烧到39度，精神不好，吃了美林之后竟然也没有怎么退烧，还是一直在38度4左右，着急了，一晚上都在间隔两个小时量烧，没有退，半夜烧到38度6又喂了一次美林结果吃完全吐。第二天白天终于退到37度1，以为这样就好了，结果中午又开始继续烧到38度。心里想着可能是疫苗反应，但是现在又是流感季，加上武汉的新冠肺炎，连着高烧两天不退，心理也越来越没有底，心想着应该不会点子这么低得了这吧，那真的是全国最小了的（当时还没有九个月大的婴儿确诊滴时候）想去医院抽个血吧，又怕交叉感染，不去医院吧，又怕万一是流感啥的耽误了，心理还是期望是疫苗反应或者幼儿急疹，心理压力也是大，终于熬到第三天自己退烧了，精神也好起来了，吓死了。不过又开始感冒了，是滴，欢喜坨爸爸传染了欢喜坨妈妈，欢喜坨妈妈又传染给了欢喜坨，这次依旧用抵抗力自己扛过去，快点好起来吧!,认证个人,记录 欢喜 打完 一针 疫苗 发烧 精神 美林 退烧 着急 间隔 小时 烧到 美林 退到 烧到 想着 疫苗 流感 武汉 高烧 心理 心想 点子 全国 最小 婴儿 医院 交叉感染 医院 流感 耽误 心理 期望 疫苗 幼儿 急疹 心理压力 退烧 精神 吓死 感冒 欢喜 爸爸 传染 欢喜 妈妈 欢喜 妈妈 传染给 欢喜 抵抗力
虽然目前还不能出门，对旅行的期待也是非常美好的吖[给你小心心][米奇比心]#新冠肺炎全球风险级别调为非常高##王牌对王牌#,认证个人,出门 旅行 期待 美好 小心 米奇 全球 风险 级别 王牌 王牌
【波音复产，2.7万名员工复工】波音宣布，本周将有2.7万名员工在西雅图工厂复工，开始制造客机。为此，波音采取防范新冠病毒传播的措施，比如要求戴口罩、错峰上下班。自从旗下工厂工人确诊感染新冠病毒后，波音自3月25日开始关厂停产#波音##美国疫情#,认证个人,波音 复产 员工 复工 波音 员工 西雅图 工厂 复工 制造 客机 波音 防范 传播 措施 戴口罩 错峰 上下班 旗下 工厂 工人 波音 关厂 停产 波音
#詹姆斯# 永不言败！C罗詹姆斯举动让球迷窝心又暖心，体坛双星对新冠说不永不言败！C罗詹姆斯举动让球迷窝心又暖心，体坛双星对新冠说不,认证个人,詹姆斯 詹姆斯 举动 球迷 窝心 体坛 双星 詹姆斯 举动 球迷 窝心 体坛 双星
#吃中药后新冠肺炎患者紧张心理得到缓解#现在疫情还在关键期，但宅着的这部分人已经进入疲惫期，街上憋不住闲逛的日渐增多，企业吵着不开工要倒闭，放松警惕就给病毒可乘之机，这可不是什么好现象。,认证个人,中药 紧张 心理 缓解 关键期 疲惫 闲逛 增多 企业 开工 倒闭 放松 警惕 病毒 现象
随着美国的确诊人数破百，美国人民的恐慌情绪也在抬头，据《每日邮报》3月2日报道，连世界第一大城市纽约也因为出现了首例新冠肺炎确诊病例而开始了抢购囤货的现象。,认证个人,人数 人民 恐慌 情绪 抬头 邮报 报道 世界 大城市 纽约 首例 抢购 囤货 现象
【桃子君出品】3月6日，美国《新闻周刊》（Newsweek）发布“2020年世界最佳医院”榜单。对21个国家/地区的领先医院进行排名。 #中国以外全球确诊新冠肺炎44483例##我国本轮疫情流行高峰已经过去##科普大作战# 沈阳 桃之夭夭其叶萋萋的微博视频 显示地图,认证个人,桃子 出品 新闻周刊 发布 世界 医院 榜单 国家 地区 领先 医院 排名 全球确诊 流行 高峰 科普 作战 沈阳
#美国新冠肺炎确诊人数超过30万# 有谁跟我一样，每天早上起来第一件事，打开微博搜索美国确诊人数。,认证个人,人数 超过 打开 搜索 人数
3月10日下午，四川遂宁市最后一例新冠肺炎确诊病例出院。至此，17例确诊患者全部治愈出院，实现全部治愈出院“清零”、确诊病例“零死亡”、医务人员“零感染”的目标。  同时记者了解到，包括遂宁在内，目前四川德阳、泸州、乐山、自贡、攀枝花、广元、凉山州、阿坝州等9个市州的确诊病例均已全部出院。,认证个人,四川 遂宁市 出院 治愈 出院 治愈 出院 死亡 医务人员 目标 记者 包括 遂宁 四川 德阳 泸州 乐山 自贡 广元 凉山州 阿坝州 市州 出院
#武汉的新冠肺炎重症治愈率越来越高#新冠真的让我们国家在世界范围内扬眉吐气！ 石家庄·西部枫景傲城 显示地图,认证个人,武汉 重症 国家 世界 石家庄 景傲
#东京一幼儿院8名婴幼儿感染新冠病毒# 日本东京都济生会中央医院表示，入住该医院附属幼儿院的8名婴幼儿确认感染了新冠病毒。 看到此类消息都让人很心痛，望宝宝能早日康复！ 曝光侠客的微博视频,认证个人,东京 幼儿 婴幼儿 日本 东京都 济生会 中央 医院 入住 医院 幼儿 婴幼儿 确认 消息 心痛 宝宝 曝光 侠客
十万➕文章，3800多人次打赏（还在涨），充分说明了人民群众对中医的高度认可，对高手在民间的高度认可，对尽快治好新冠肺炎的强烈愿望，对大乱之时需要一位伟人救世的殷殷期望，对无证却有效的治疗不被认真对待而强烈不满，对一心为民救人却被处罚被污为神棍而痛心疾首。当大家狠狠用点击在看，用人民币打赏表明自己态度的时候，民心可见了。 不可否认的事实都一一显现。只是，国家有关部门最终会根据查明的事实和法律给出一个说法。值得深思的社会现象。我这个转发是不是又会增加点击和打赏的次数，我不知道。但是，还是那句话，兼听则明。大家自己都会判断。,认证个人,打赏 人民 群众 高度 认可 高手 民间 高度 认可 愿望 大乱 伟人 救世 殷殷期望 无证 治疗 为民 救人 处罚 污为 神棍 点击 人民币 打赏 态度 民心 事实 显现 国家有关 部门 查明 事实 法律 给出 说法 值得 深思 社会 现象 转发 增加 点击 打赏 次数 判断
【高清】杰森·斯坦森4月22日带儿子骑儿童摩托车。#Jason Statham# takes his son Jack for a spin on his toy motorcycle in Beverly Hills during the COVID-19 safer at home order. 22 APRIL 2020,认证个人,高清 杰森 斯坦森 儿子 儿童 摩托车
#深圳新增由英国途经香港输入病例#一大早看到这个消息，不安逸，入境还是该严管才行。 成都那个发烧的韩国入境者，还好已经排除新冠。今儿周一，看到三环往南的方向，又堵成了长龙，看来是差不多恢复上班儿咯。,认证个人,深圳 新增 英国 途经 香港 输入病例 消息 安逸 入境 严管 成都 发烧 韩国 入境者 还好 排除 三环 方向 堵成 长龙 恢复 上班
英国议会外委会认为应制定是否让中国政府为新冠大流行负责的策略 Re  路透伦敦4月29日 - 英国议会外交事务委员会已要求政府制定与中国打交道的策略，以及是否计划利用国际机构让中国政府对新冠病毒大流行负责。  这个跨党派委员会要求在制定战略时，考虑到北京方面在提供疫情早期信息方面的作用、它在医疗和工业供应链中的作用，以及英国及其合作伙伴对中国的依赖。  委员会质询英国政府，是否计划在世界卫生组织(WHO)、七国集团(G7)或二十国集团(G20)等国际会议上提出交涉，”要求中国为其误导国际社会、以控制围绕新冠病毒的表述的企图承担责任”。(完)  编译 刘静；审校 李军,认证个人,英国议会 外委会 制定 中国政府 流行 负责 策略 路透 伦敦 英国议会 外交事务 委员会 政府 制定 打交道 策略 计划 利用 国际 机构 中国政府 流行 负责 党派 委员会 制定 战略 北京 提供 信息 作用 医疗 工业 供应链 作用 英国 合作伙伴 依赖 委员会 质询 英国政府 计划 世界卫生组织 七国集团 十国集团 国际 会议 提出 交涉 误导 国际 社会 控制 围绕 表述 编译 刘静 审校 李军
#新型肺炎确诊440例死亡9例# 秦人不暇自哀而后人哀之 后人哀之而不鉴之 亦使后人而复哀后人,认证个人,死亡 自哀 后人 后人 后人
#战疫一线的家书#等山河无恙，愿人间皆安 新冠肺炎疫情形势依然严峻复杂  无数平凡的人们  仍在战“疫”一线咬牙坚持  有一分热，便发一分光  他们坚守  因为  每一滴眼泪都不应被辜负  每一滴汗水都应该被珍惜  他们挺身而出  只因对这片土地有着最深沉的热爱  他们默默奉献  却怀揣着对幸福生活最炽热的期待,认证个人,战疫 家书 山河 人间 形势 严峻 平凡 咬牙 坚守 眼泪 不应 辜负 汗水 珍惜 土地 深沉 热爱 奉献 怀揣 炽热 期待
【#武汉成为疫情后网民最想去旅游的城市#】#周刊君与你共同战疫# 白岩松：武汉市的一个重要地标黄鹤楼今天开始有限开放，这很让人开心，其实今天让人很开心的新闻有很多，比如今年两会开会的时间正式确定了，还有北京市的防疫应急响应终于由一级变成了二级。4月28日，中国社科院旅游研究中心等机构发布《新冠肺炎疫情下旅游需求趋势调研报告》，湖北成为网民第二最想去的旅游省，武汉成为网民最想去旅游的城市。新闻一加一 http://t.cn/A6AUHCea,认证个人,武汉 网民 旅游 城市 周刊 战疫 白岩松 武汉市 地标 黄鹤楼 有限 开放 开心 开心 新闻 两会 开会 时间 正式 北京市 防疫 应急响应 二级 中国社科院 旅游 研究 中心 机构 发布 旅游 需求 趋势 调研 报告 湖北 网民 想去 旅游 武汉 网民 旅游 城市 新闻
唯一的净土早晚也得让美国嚯嚯了#跟新浪看热点#  外媒：全球仍有一片净土未被新冠病毒入侵,认证个人,净土 新浪 热点 外媒 全球 净土 入侵
#迪士尼资深动画师苏利文因新冠去世# 一路走好[蜡烛][蜡烛],认证个人,迪士尼 资深 动画师 苏利文 去世 蜡烛 蜡烛
#全球新冠肺炎确诊病例超40万#？？？？？都40万了[费解][费解][费解][费解][费解],认证个人,全球 费解 费解 费解 费解 费解
《新冠死者肺里充满微小血栓 原因不明》根据早期的报告，新冠病毒似乎是一种标准的呼吸道病毒，具有传染性和致命性，不仅会攻击肺部，还会攻击肾脏、心脏、肠道、肝脏和大脑。http://t.cn/A6wgEHGB,认证个人,死者 充满 血栓 原因 不明 报告 标准 病毒 传染性 致命性 攻击 肺部 攻击 肾脏 心脏 肠道 肝脏 大脑
在全球化时代，各国命运相连、休戚相关，人类社会是一个“你中有我、我中有你”的共同体。新冠肺炎疫情是对中国人民的生命安全和身体健康的重大威胁，也是对世界卫生事业的严重挑战。面对疫情，任何一个国家都难以独善其身。秉持人类命运共同体理念，同舟共济、共同战“疫”，是国际社会的唯一正确选择。 http://t.cn/RJwKRD0显示地图,认证个人,全球化 时代 命运 人类 社会 共同体 人民 生命安全 威胁 世界 卫生事业 挑战 面对 国家 秉持 人类 命运 共同体 理念 国际 社会 正确 选择
#美国新冠病毒感染病例超过78万# 这个速度好可怕，集体不想活了,认证个人,感染病例 超过 速度 集体 不想
#清明祭# 【今天发条微博，为那些没能来得及的告别】今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！#哀悼抗击新冠疫情牺牲烈士和逝世同胞#,认证个人,清明 发条 告别 全国 哀悼 缅怀 逝去 同胞 哀悼 抗击 牺牲 烈士 逝世 同胞
#美国新冠肺炎确诊超70万#全球累计确诊逾224万、美国超70万，俄航天高官中招引空间站担忧｜国际疫情观察（4月18日） 全球累计确诊逾224万、美国超70万，俄航天高官中招引空间站担忧｜国际疫情观察（4月18日）,认证个人,全球 累计确诊 航天 高官 招引 空间站 担忧 国际 观察 全球 累计确诊 航天 高官 招引 空间站 担忧 国际 观察
庚子鼠年，荆楚大疫，名曰新冠，源于食野，恰逢年节，染疾数万；九州闭关，车马顿安，万巷空寂，足不出户，以隔蔓延。医甲钟南山，携雷火二神，逆行而勇战，率数十万白衣精兵固铸金汤，诛妖邪。 海口·海府 显示地图,认证个人,庚子 名曰 源于 食野 染疾 九州 闭关 车马 顿安 空寂 蔓延 医甲 钟南山 雷火 逆行 勇战 白衣 精兵 金汤 妖邪 海府
#英国首相新冠肺炎检测呈阳性#这就尴尬了！ 谁能想到，群体免疫本来是想免疫穷人的，结果免疫到自己了呢？[笑而不语][笑而不语][笑而不语],认证个人,英国首相 检测 阳性 尴尬 想到 群体免疫 免疫 穷人 免疫 不语 不语 不语
#重庆#最近因为“新冠病毒🦠”全家人搞得人心惶惶，饿得前胸贴后背了，点个外卖喊外卖小哥送到门口把东西放在门口打电话拿，屋头老人都要跟你吵一阵“有病毒，口袋被人提过”！哪些人一天吃饱没事干迈，乱造些谣，人家那些送快递的不收快递了嗦，[白眼]你们有本事莫网购～莫去超市买菜买米了，都被人摸过～说起都鬼冒火，信不信病毒没来，人都要饿死～～天天传其传八的老人家又没文化听风就是雨～不晓得孕妇饿得快吗～[抓狂] http://t.cn/AigLeHh1显示地图,认证个人,重庆 全家人 前胸 后背 外卖 外卖 小哥 送到 东西 放在 老人 病毒 口袋 提过 吃饱 乱造 快递 不收 快递 了嗦 白眼 莫网 超市 买菜 说起 冒火 信不信 病毒 饿死 老人家 文化 晓得 孕妇 抓狂
#坠落星空[超话]##全球抗疫第一线#【#特朗普宣布国家紧急状态应对疫情#】当地时间13日下午3点30分，美国总统特朗普在白宫南草坪举行记者会。特朗普宣布美国进入应对新冠肺炎紧急状态，联邦政府将启动500亿美元的紧急资金储备，用于各州医疗机构应对新冠肺炎疫情，同时要求各州尽快建立应对新冠肺炎的应急指挥中心。（央视记者刘旭）http://t.cn/A6zJhTOV,认证个人,坠落 星空 超话 全球 抗疫 特朗普 国家 应对 时间 总统 特朗普 白宫 草坪 记者会 特朗普 应对 联邦政府 启动 紧急 资金 储备 用于 医疗机构 应对 建立 应对 应急 指挥 中心 记者 刘旭
#美国新冠病毒确诊超60万例# 天啊，持续J型增长吗……,认证个人,持续 增长
10天前，不药不药博士推测，粪便中可能存在病毒，并呼吁大家减少去公共厕所，看来可能要被证实了 #深圳确诊患者粪便中检测出病毒rna阳性#   在人体常见的3种排泄物(痰、粪便、尿液)和血液中，冠状病毒能较长时间的保持活力。在室温条件下，冠状病毒能够在粪便中存活约5天，在尿液中存活约10天，血液中可存活15天。   1月31日，国际顶尖医学期刊新英格兰医学杂志 NEJM报道了美国的第一例新冠病毒肺炎病人治疗并好转，论文中称该患者粪便中检测到新型冠状病毒。   1月31日，钟南山院士接受专访时提醒说：虽然现在新型冠状病毒感染的肺炎主要还是通过飞沫传染，但要注意粪便传染的可能性。  2月1日，深圳市点人民医院发布公告称，该院肝病研究所发现某些新冠病毒确诊患者的粪便中检测到新型冠状病毒核酸阳性，因此粪便中很可能存在活病毒。  #抗击新型肺炎第一线#  这两个案例和钟院士的话，都说明，新型冠状病毒除了经呼吸系统感染和传播（飞沫和接触），很可能存在经消化系统的感染途径（粪口传播）。 外面的公共卫生间是较大的传染源头，应减少去公共卫生间，不管是家里的，还是公共卫生间，都应该定期消毒。,认证个人,不药 不药 博士 推测 粪便 病毒 呼吁 减少 公共厕所 证实 深圳 粪便 检测 病毒 阳性 人体 常见 排泄物 粪便 尿液 血液 较长时间 活力 室温 条件 粪便 存活 尿液 存活 血液 存活 国际 顶尖 医学期刊 新英格兰 医学杂志 报道 病人 治疗 好转 论文 称该 粪便 检测 新型 钟南山 院士 接受 专访 提醒 病毒感染 飞沫传染 粪便 传染 可能性 深圳市 人民 医院 发布公告 肝病 研究所 发现 粪便 检测 新型 核酸 阳性 粪便 病毒 抗击 案例 院士 新型 传播 飞沫 接触 途径 粪口 传播 卫生间 较大 传染源 减少 卫生间 卫生间 定期 消毒
##新冠当下危重早产儿艰难的进京求医路##涓滴之水成海洋， 我在“新冠当下危重早产儿艰难的进京求医路”项目捐款成功！携手@可爱的小小关，凝聚颗颗爱心点燃更多希望。@中华儿慈会-祝福宝贝 新冠当下危重早产儿艰难的进京求医路,认证个人,危重 早产儿 艰难 进京 求医 海洋 危重 早产儿 艰难 进京 求医 项目 捐款 成功 携手 可爱 凝聚 爱心 点燃 希望 中华 祝福 宝贝 危重 早产儿 艰难 进京 求医
圣火因大风熄灭！ 东京奥运会圣火在东京举行的迎接仪式，圣火三次因大风而熄灭！后用备用火种再度点燃。说心里话，因为热爱中国女排，希望东京奥运会如期举办！但是，目前新冠肺炎疫情形势严峻，东京奥运会若还能在2020年7月24日开幕，就是奇迹！ 北京 显示地图,认证个人,圣火 大风 熄灭 东京 圣火 东京 迎接 仪式 圣火 大风 熄灭 备用 火种 点燃 热爱 中国女排 希望 东京 举办 东京 开幕 奇迹 北京
35秒看多国新冠肺炎确诊数变化！全球战疫，命运与共。#西班牙卫生部发言人确诊新冠肺炎# 淘小铺芬香旅行的微博视频,认证个人,变化 全球 战疫 命运 西班牙 卫生部 小铺 芬香 旅行
#国际疫情动态#【约翰斯·霍普金斯大学：#美国新冠死亡病例超6万例#】美国约翰斯·霍普金斯大学29日发布的新冠疫情最新统计数据显示，美国累计新冠死亡病例超过6万例。 　　根据美国东部时间29日16时（北京时间30日4时）查询到的数据，美国累计死亡病例达到60207例。 　　数据显示，#美国累计确诊病例达到1030487例#。疫情最严重的是纽约州，累计确诊299691例，死亡23384例。此外，新泽西州累计死亡6771例，密歇根州累计死亡3673例，马萨诸塞州累计死亡3153例。 http://t.cn/RJvM0HA显示地图,认证个人,国际 动态 约翰斯 霍普金斯大学 死亡病例 约翰斯 霍普金斯大学 发布 统计数据 累计 死亡病例 超过 时间 北京 时间 查询 数据 累计 死亡病例 数据 累计 纽约州 累计确诊 死亡 新泽西州 累计 死亡 密歇根州 累计 死亡 马萨诸塞州 累计 死亡
西汉姆联副主席Karren Brady说队中有8人出现轻微新冠症状，他们已经自我隔离。在之前的一次英超会议中，正是这位提出了取消本赛季的想法，而她目前也说为了把本赛季打完，英超可能会在7月重启。,认证个人,西汉姆 主席 说队 症状 隔离 英超 会议 提出 取消 本赛季 想法 本赛季 英超 重启
『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL,认证个人,全国 动态 丁香 丁香 医生
#三亚生活# 【三亚中心医院获批开展新冠病毒核酸检测】4月9日，经海南省卫生健康委员会批准，认定三亚中心医院（海南省第三人民医院）为海南省第四批具备新型冠状病毒核酸检测能力的机构。,认证个人,三亚 生活 三亚 中心医院 获批 核酸检测 海南省 卫生 健康 委员会 批准 认定 三亚 中心医院 海南省 人民 医院 海南省 具备 新型 核酸检测 能力 机构
这对意大利医生情侣，本来今年完婚，女友罹患新冠肺炎在医院抢救，男友为了见上女友最后一面，断然脱去防护服摘下口罩，申请地和女友吻别。结果同一天离开这个世界。 向美好的生命致敬，向无畏的灵魂默哀！,认证个人,意大利 医生 情侣 完婚 女友 罹患 医院 抢救 男友 女友 防护服 摘下 口罩 申请 女友 吻别 离开 世界 美好 生命 致敬 无畏 灵魂 默哀
举国同哀，共悼抗击新冠肺炎疫情中牺牲的烈士和逝世同胞。 愿逝者安息，生者奋发。,认证个人,举国 共悼 抗击 牺牲 烈士 逝世 同胞 逝者 安息 奋发
#汕尾爆料##城市生活家##汕尾身边事# 【捷报！汕尾清0！汕尾市最后一例在院确诊病例治愈出院！】2月28日下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！  经专家组会诊，出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。  该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，30日确诊。  截至2月27日24时，汕尾市已连续25天无新增确诊病例。,认证个人,汕尾 爆料 城市 生活 汕尾 捷报 汕尾 汕尾市 治愈 出院 汕尾市 治愈 出院 汕尾市 累计 报告 治愈 出院 治愈 出院 全市 专家组 会诊 出院 连续 新型 核酸检测 阴性 符合国家 新型 诊疗 方案 试行 第六版 解除 隔离 出院 标准 予以 出院 汕尾市 湖北省 随州市 入院 汕尾市 连续 新增确诊病例
#迪巴拉确诊感染新冠病毒#意甲尤文球员迪巴拉在个人社交媒体公布了自己和女友#中餐厅2##地球脉动#确诊感染新冠病毒肺炎的消息，并透露两人目前状态良好。他成为继鲁加尼、马图伊迪之后第三位确诊的一线队球员。,认证个人,巴拉 意甲 尤文 球员 巴拉 社交 媒体 公布 女友 中餐厅 地球 脉动 消息 透露 状态 鲁加尼 马图伊迪 球员
#不可辜负的美食# 有油条的早餐[太开心][太开心][太开心]总觉得还是没有外面炸好的好吃，疫情快快过去吧#米切尔新冠病毒检测呈阳性# 真的希望大家平平安安[悲伤][悲伤] 天津·怀庆里 显示地图,认证个人,辜负 美食 油条 早餐 开心 开心 开心 好吃 米切尔 检测 阳性 希望 平平安安 悲伤 悲伤 天津 怀庆
